label,xchannel,ychannel,zchannel,wsurf
%f,%f,%f,%f,%f
1175,1007.668,928.729,99.192,100
1176,1007.975,928.315,99.11,100
1177,1007.764,927.878,99.14,100
1178,1007.53,928.104,98.751,100
1179,1007.44,928.506,98.937,100
1180,1007.207,928.698,98.836,100
1181,1006.985,928.371,98.859,100
1182,1007.113,928.038,98.715,100
1183,1007.369,927.628,98.669,100
1184,1007.673,927.578,98.651,100
1185,1007.272,927.402,98.554,100
1186,1006.925,927.263,98.556,100
1187,1006.74,927.243,98.778,100
1188,1006.654,927.519,98.827,100
1189,1006.502,928.014,98.75,100
1190,1006.282,928.36,98.749,100
1191,1006.099,928.911,98.808,100
1192,1005.717,928.659,98.78,100
1193,1005.805,928.254,98.713,100
1194,1005.978,927.889,98.695,100
1195,1006.257,927.525,98.753,100
1196,1006.532,927.045,98.712,100
1197,1006.425,927.018,98.964,100
1198,1006.083,927.246,98.691,100
1199,1006.109,926.827,98.665,100
1200,1005.842,927.074,98.665,100
1201,1005.676,927.486,98.724,100
1202,1005.872,927.855,98.705,100
1203,1005.713,928.172,98.753,100
1204,1005.43,928.026,98.757,100
1205,1005.153,928.301,98.762,100
1206,1005.577,928.518,98.722,100
1207,1005.346,928.874,98.72,100
1208,1004.964,928.653,98.872,100
1209,1004.812,928.551,99.097,100
1210,1004.862,928.287,99.075,100
1211,1004.475,928.387,99.073,100
1212,1004.667,928.14,99.052,100
1213,1004.863,928.046,98.782,100
1214,1005.035,927.81,98.764,100
1215,1005.342,927.465,98.746,100
1216,1005.449,927.057,98.708,100
1217,1005.67,926.581,98.623,100
1218,1005.344,926.352,98.687,100
1219,1005.152,926.799,98.783,100
1220,1004.937,927.17,98.723,100
1221,1004.808,927.514,98.773,100
1222,1004.573,927.798,98.766,100
1223,1004.498,927.912,98.906,100
1224,1004.245,928.459,99.027,100
1225,1004.175,928.279,98.868,100
1226,1003.984,927.986,99.071,100
1227,1004.292,927.953,98.915,100
1228,1004.266,927.667,99.104,100
1229,1004.457,927.61,98.802,100
1230,1004.649,927.082,98.774,100
1231,1004.824,926.851,98.811,100
1232,1004.98,926.472,98.716,100
1233,1004.844,926.186,98.662,100
1234,1004.599,926.666,98.67,100
1235,1004.414,926.899,98.765,100
1236,1003.913,926.688,98.773,100
1237,1003.714,927.159,98.834,100
1238,1003.423,926.919,98.878,100
1239,1003.471,926.371,98.78,100
1240,1003.978,925.834,98.701,100
1241,1003.437,927.718,98.952,100
1242,1003.06,927.488,98.866,100
1243,1002.622,927.359,98.779,100
1244,1002.427,927.678,98.754,100
1245,1003.012,928.055,98.9,100
1246,1003.445,927.608,99.072,100
1247,1003.587,927.523,98.915,100
1248,1003.44,928.156,98.913,100
1249,1002.505,928.109,98.803,100
1250,1002.342,928.458,98.94,100
1251,1002.235,928.683,98.869,100
1252,1001.991,928.504,98.887,100
1253,1002.19,928.007,98.736,100
1254,1002.836,928.81,98.905,100
1255,1003.111,928.562,98.959,100
1256,1003.207,928.499,99.078,100
1257,1003.554,928.572,99.092,100
1258,1003.473,928.355,98.984,100
1259,1003.293,928.902,98.959,100
1260,1003.483,929.241,98.898,100
1261,1003.724,928.958,98.914,100
1262,1004.077,928.744,99.008,100
1263,1004.391,928.823,99.093,100
1264,1004.284,929.064,98.909,100
1265,1004.005,929.459,98.935,100
1266,1004.277,929.634,99.003,100
1267,1004.46,929.71,98.829,100
1268,1004.579,929.282,99.006,100
1269,1004.881,929.01,99.106,100
1270,1004.969,928.902,98.844,100
1271,1005.309,928.943,98.836,100
1272,1005.118,929.343,98.984,100
1273,1004.876,929.643,98.76,100
1274,1004.722,929.884,98.863,100
1275,1005.071,930.067,98.825,100
1276,1005.177,929.75,98.77,100
1277,1005.346,929.555,98.871,100
1278,1005.631,929.171,98.761,100
1279,1006.002,929.393,98.78,100
1280,1005.808,929.82,98.942,100
1281,1005.643,930.045,98.889,100
1282,1005.534,930.276,98.841,100
1283,1005.922,930.393,98.892,100
1284,1006.059,930.052,98.847,100
1285,1006.182,929.664,98.811,100
1286,1006.675,929.506,98.745,100
1287,1006.641,929.73,98.981,100
1288,1006.484,930.114,98.871,100
1289,1006.319,930.407,98.901,100
1290,1006.143,930.58,99.022,100
1291,1006.581,930.785,99.016,100
1292,1006.77,930.383,99.045,100
1293,1006.896,929.996,99.016,100
1294,1007.112,929.598,99.059,100
1295,1007.488,929.939,99.122,100
1296,1007.272,930.346,99.072,100
1297,1006.976,930.74,99.144,100
1298,1006.994,930.963,99.085,100
1299,1006.972,928.923,99.387,100
1300,1006.88,928.108,99.345,100
1301,1006.955,928.742,99.75,100
1302,1006.79,929.163,99.907,100
1303,1006.17,929.495,99.549,100
1304,1006.687,931.284,99.036,100
1305,1006.447,931.604,99.086,100
1306,1006.351,931.823,99.334,100
1307,1006.234,932.02,99.093,100
1308,1006.051,932.445,99.09,100
1309,1005.664,932.299,99.05,100
1310,1005.872,931.888,98.957,100
1311,1006.087,931.545,98.971,100
1312,1006.38,931.164,98.993,100
1313,1006.102,931.028,98.901,100
