Timestamp,u1,w1,u2,w2,u3,w3,u4,w4 
%s,%f,%f,%f,%f,%f,%f,%f,%f 
"2004-08-13 17:23:20.35",-306.874,-47.254,-130.642,156.582,-155.241,-83.5892,-141.389,63.1733 
"2004-08-13 17:23:20.4",-277.374,-112.323,-146.42,133.031,-177.684,-75.191,-143.728,96.8066 
"2004-08-13 17:23:20.45",-234.596,-119.521,-141.167,94.0845,-181.878,-64.4235,-145.22,75.9169 
"2004-08-13 17:23:20.5",-162.228,12.6629,-123.645,28.431,-169.689,-41.3762,-149.465,22.0492 
"2004-08-13 17:23:20.55",-111.224,88.7209,-120.872,-22.6642,-146.722,-3.43794,-159.093,38.2811 
"2004-08-13 17:23:20.6",-101.787,85.1519,-132.255,-44.3907,-146.49,30.6995,-173.933,40.731 
"2004-08-13 17:23:20.65",-78.6491,84.1639,-116.194,-46.3869,-139.483,37.1721,-157.228,-18.3491 
"2004-08-13 17:23:20.7",-41.8198,14.1752,-77.1469,-36.0832,-123.584,46.276,-153.891,-79.8589 
"2004-08-13 17:23:20.75",-35.7606,-45.0864,-84.3353,-25.8904,-86.8054,55.2792,-155.826,-113.109 
"2004-08-13 17:23:20.8",-73.9509,-78.4979,-76.9856,-31.5161,-45.7719,34.7322,-159.163,-97.2503 
"2004-08-13 17:23:20.85",-79.3447,-31.506,-24.3479,-61.3183,-73.8703,6.57342,-161.19,-74.6567 
"2004-08-13 17:23:20.9",-52.4764,16.2017,11.0498,-132.547,-116.063,-35.9824,-138.566,-42.9792 
"2004-08-13 17:23:20.95",-32.6654,-52.0429,16.9578,-185.356,-177.17,-40.9326,-94.5685,-32.1311 
"2004-08-13 17:23:21",-22.9465,-75.2313,-0.241966,-133.717,-201.81,-60.2798,-88.5697,-19.3875 
"2004-08-13 17:23:21.05",-38.9666,-63.0322,-27.2111,-101.061,-209.119,-93.0259,-102.735,-64.736 
"2004-08-13 17:23:21.1",-74.0013,-66.3189,-84.1639,-58.9591,-201.588,-75.564,-98.7827,-90.5659 
"2004-08-13 17:23:21.15",-147.599,-81.3107,-125.772,-16.8167,-186.213,21.6661,-99.2263,-85.7972 
"2004-08-13 17:23:21.2",-180.527,-70.14,-151.42,-20.8293,-141.772,106.213,-97.8048,-37.3132 
"2004-08-13 17:23:21.25",-172.774,-18.6213,-162.319,-30.891,-124.088,122.878,-74.4146,4.80907 
"2004-08-13 17:23:21.3",-166.825,35.4883,-144.091,3.11531,-108.25,82.5407,-84.3554,35.6497 
"2004-08-13 17:23:21.35",-142.8,43.7555,-113.835,-19.6093,-97.3207,60.673,-118.896,84.5974 
"2004-08-13 17:23:21.4",-109.53,14.034,-126.73,-17.8853,-106.878,38.9565,-161.351,90.4751 
"2004-08-13 17:23:21.45",-92.4411,-47.8992,-132.769,55.1884,-125.197,93.2577,-201.396,49.5728 
"2004-08-13 17:23:21.5",-101.071,-135.36,-162.137,129.492,-148.698,82.5608,-205.137,17.0788 
"2004-08-13 17:23:21.55",-93.7417,-147.72,-175.768,188.068,-180.396,93.1569,-146.228,77.2678 
"2004-08-13 17:23:21.6",-98.0971,-76.189,-189.812,169.396,-182.382,137.739,-53.1418,88.3075 
"2004-08-13 17:23:21.65",-165.222,-62.1651,-195.015,148.275,-190.236,98.5003,-36.7587,45.2476 
"2004-08-13 17:23:21.7",-161.139,-48.9477,-182.493,133.626,-169.134,5.06112,-72.8822,42.3037 
"2004-08-13 17:23:21.75",-118.473,-14.2962,-171.897,128.958,-163.992,-60.9956,-112.958,31.3749 
"2004-08-13 17:23:21.8",-79.0422,16.736,-182.533,83.317,-207.123,-68.5671,-122.929,100.285 
"2004-08-13 17:23:21.85",-104.923,-45.9433,-191.778,33.3006,-229.616,-7.99496,-127.022,176.111 
"2004-08-13 17:23:21.9",-102.906,-55.1279,-170.919,72.1563,-214.654,28.2495,-156.27,156.048 
"2004-08-13 17:23:21.95",-86.2206,16.3327,-155.493,49.9156,-187.07,40.5898,-178.581,100.073 
"2004-08-13 17:23:22",-92.9452,105.164,-144.665,-2.06679,-185.931,31.3548,-185.538,-3.74039 
"2004-08-13 17:23:22.05",-89.4367,129.331,-188.28,-79.7681,-196.94,18.6818,-172.451,-111.617 
"2004-08-13 17:23:22.1",-65.3006,65.1493,-219.302,-149.646,-185.659,-52.5671,-153.578,-158.024 
"2004-08-13 17:23:22.15",-53.2224,23.3396,-252.744,-145.694,-165.989,-106.445,-154.647,-127.042 
"2004-08-13 17:23:22.2",-64.4134,-39.0573,-244.89,-90.5255,-156.633,-68.6881,-163.035,-78.3667 
"2004-08-13 17:23:22.25",-84.0529,-17.845,-184.691,-19.9924,-151.44,-31.4253,-152.066,-114.823 
"2004-08-13 17:23:22.3",-101.807,56.2571,-120.449,75.6043,-135.36,-86.3617,-142.407,-202.727 
"2004-08-13 17:23:22.35",-156.31,97.724,-144.847,177.966,-176.03,-97.5829,-136.549,-153.719 
"2004-08-13 17:23:22.4",-220.744,106.747,-206.568,181.364,-237.076,-106.465,-132.517,-59.2514 
