Timestamp,u1,w1,u2,w2,u3,w3,u4,w4 
%s,%f,%f,%f,%f,%f,%f,%f,%f 
"2004-08-13 16:56:07",-140.29,-118.463,-126.186,89.689,-156.583,-84.7287,-225.13,-85.6865 
"2004-08-13 16:56:07.05",-142.145,-138.465,-162.188,81.3512,-174.67,-56.7614,-215.784,-60.6631 
"2004-08-13 16:56:07.1",-108.331,-219.141,-163.801,31.1835,-183.219,5.66605,-212.89,-47.4255 
"2004-08-13 16:56:07.15",-96.1112,-255.698,-158.075,-6.89605,-180.114,46.9819,-198.03,-21.6863 
"2004-08-13 16:56:07.2",-125.53,-257.432,-137.659,-36.5269,-149.475,32.2421,-168.439,55.3297 
"2004-08-13 16:56:07.25",-154.002,-206.206,-145.614,-26.1425,-113.089,-31.5464,-146.944,138.959 
"2004-08-13 16:56:07.3",-155.03,-168.51,-167.27,49.3814,-109.419,-99.9323,-135.259,206.035 
"2004-08-13 16:56:07.35",-181.969,-173.631,-203.988,147.005,-126.216,-118.796,-128.878,257.937 
"2004-08-13 16:56:07.4",-190.508,-80.9076,-208.837,152.237,-136.288,-22.3214,-128.938,223.214 
"2004-08-13 16:56:07.45",-156.966,12.6428,-193.17,112.857,-131.247,69.394,-115.408,139.191 
"2004-08-13 16:56:07.5",-137.477,91.1509,-190.66,23.7329,-161.825,92.2297,-103.461,82.3393 
"2004-08-13 16:56:07.55",-138.546,92.5825,-199.986,-68.648,-188.442,84.6279,-105.679,73.4369 
"2004-08-13 16:56:07.6",-153.77,54.1905,-195.852,-103.138,-224.223,25.9308,-116.104,44.6832 
"2004-08-13 16:56:07.65",-144.011,2.35918,-183.34,-75.5239,-240.404,-10.5457,-123.887,-3.99245 
"2004-08-13 16:56:07.7",-124.663,-23.1381,-153.891,-20.7789,-232.591,71.0172,-146.501,-42.5861 
"2004-08-13 16:56:07.75",-132.487,0.937621,-131.327,65.8049,-175.97,64.7362,-193.13,-101.969 
"2004-08-13 16:56:07.8",-164.88,51.8918,-112.242,97.3614,-108.31,-0.100819,-241.664,-166.826 
"2004-08-13 16:56:07.85",-204.502,77.5806,-103.773,100.104,-70.9467,-5.15188,-231.875,-165.919 
"2004-08-13 16:56:07.9",-214.856,107.151,-92.0784,89.9511,-94.5082,42.203,-203.645,-129.876 
"2004-08-13 16:56:07.95",-180.134,152.631,-83.045,70.1905,-134.392,18.8129,-176.948,-74.3846 
"2004-08-13 16:56:08",-169.911,139.494,-77.5604,39.8035,-156.079,-55.6221,-156.684,17.9257 
"2004-08-13 16:56:08.05",-167.794,52.285,-90.4351,34.9844,-165.304,-127.597,-144.484,77.9435 
"2004-08-13 16:56:08.1",-153.891,-92.2498,-100.275,20.5571,-165.747,-148.396,-134.372,97.5328 
"2004-08-13 16:56:08.15",-146.027,-153.104,-72.3581,7.00695,-152.59,-107.121,-116.406,83.8011 
"2004-08-13 16:56:08.2",-152.288,-111.325,-48.4438,1.43164,-138.445,-49.5931,-100.971,78.7501 
"2004-08-13 16:56:08.25",-142.912,23.3599,-62.4072,-29.7014,-142.528,-28.542,-82.8938,59.4129 
"2004-08-13 16:56:08.3",-143.456,142.791,-98.6216,-54.8357,-146.208,8.43859,-77.883,73.5982 
"2004-08-13 16:56:08.35",-153.881,162.42,-118.775,-65.5528,-135.844,41.7594,-103.279,82.5812 
"2004-08-13 16:56:08.4",-163.983,165.273,-136.227,-98.4099,-147.418,15.375,-126.528,97.6033 
"2004-08-13 16:56:08.45",-204.744,212.648,-157.107,-90.2838,-166.897,-53.8578,-133.656,32.9075 
"2004-08-13 16:56:08.5",-210.168,180.89,-165.898,-28.2295,-178.279,-65.3512,-135.985,-31.244 
"2004-08-13 16:56:08.55",-183.028,87.1685,-152.671,48.6353,-163.993,-34.8432,-139.292,-71.0777 
"2004-08-13 16:56:08.6",-161.049,13.8627,-129.069,81.1193,-139.121,-43.7758,-152.207,-87.7533 
"2004-08-13 16:56:08.65",-150.302,-54.2711,-90.6669,104.762,-122.697,-45.4595,-165.011,-116.648 
"2004-08-13 16:56:08.7",-156.532,-61.7822,-52.9101,88.6304,-109.682,-41.4368,-168.288,-132.88 
"2004-08-13 16:56:08.75",-153.81,-45.1167,-59.1205,93.6008,-104.993,-10.1525,-158.317,-87.3701 
"2004-08-13 16:56:08.8",-143.839,-19.8816,-90.4956,125.873,-105.911,34.4803,-148.215,-61.9939 
"2004-08-13 16:56:08.85",-133.273,27.2414,-119.501,153.336,-111.285,93.2278,-150.534,-54.3316 
"2004-08-13 16:56:08.9",-119.844,80.9379,-148.709,147.832,-129.109,76.6833,-150.231,-52.3455 
