Timestamp,u1,w1,u2,w2,u3,w3,u4,w4 
%s,%f,%f,%f,%f,%f,%f,%f,%f 
"2004-08-13 17:19:31.05",-192.292,21.1821,-321.714,59.5035,-95.8185,-46.6793,-263.531,-162.057 
"2004-08-13 17:19:31.1",-187.675,-10.9893,-342.785,113.875,-109.328,-76.4915,-222.891,-128.565 
"2004-08-13 17:19:31.15",-185.719,-61.7215,-336.776,59.3724,-114.692,-69.0208,-187.171,-79.3144 
"2004-08-13 17:19:31.2",-180.809,-102.815,-298.233,-19.4984,-110.589,-3.76055,-164.93,-159.435 
"2004-08-13 17:19:31.25",-191.345,-115.307,-279.067,3.96219,-59.7353,61.7618,-144.948,-255.415 
"2004-08-13 17:19:31.3",-208.313,-74.6263,-290.178,132.658,-69.5047,84.3251,-124.955,-234.152 
"2004-08-13 17:19:31.35",-243.801,23.6623,-294.069,230.775,-106.273,108.592,-127.244,-224.857 
"2004-08-13 17:19:31.4",-266.999,138.798,-313.931,171.11,-154.959,118.946,-120.439,-209.795 
"2004-08-13 17:19:31.45",-270.437,167.824,-329.931,129.482,-213.968,41.6786,-118.251,-134.049 
"2004-08-13 17:19:31.5",-270.478,180.103,-318.498,8.91241,-234.384,42.2533,-110.82,-59.6043 
"2004-08-13 17:19:31.55",-262.916,194.611,-318.367,-63.143,-225.926,83.1556,-123.534,10.3239 
"2004-08-13 17:19:31.6",-280.731,209.633,-310.422,-68.7587,-223.889,128.222,-162.5,97.6333 
"2004-08-13 17:19:31.65",-328.65,169.739,-294.17,-72.2369,-214.442,112.02,-180.436,85.666 
"2004-08-13 17:19:31.7",-318.387,115.68,-250.939,-20.678,-222.236,91.7555,-185.82,-20.5873 
"2004-08-13 17:19:31.75",-253.238,79.879,-186.626,48.857,-227.196,-5.94833,-187.03,-145.613 
"2004-08-13 17:19:31.8",-228.88,113.411,-157.227,42.828,-231.017,-31.7278,-146.268,-171.272 
"2004-08-13 17:19:31.85",-217.719,132.567,-168.469,64.1008,-232.418,24.5394,-117.918,-104.489 
"2004-08-13 17:19:31.9",-176.605,116.497,-194.48,18.5406,-242.309,146.974,-115.801,-62.4373 
"2004-08-13 17:19:31.95",-149.122,126.528,-269.732,-77.8525,-248.025,207.022,-104.247,-138.112 
"2004-08-13 17:19:32",-174.084,86.1903,-294.079,-126.871,-230.331,115.761,-110.175,-185.79 
"2004-08-13 17:19:32.05",-187.463,64.4436,-287.677,-98.6616,-209.956,85.6963,-123.009,-193.351 
"2004-08-13 17:19:32.1",-191.335,92.9956,-262.16,-40.126,-198.069,91.5841,-140.955,-116.839 
"2004-08-13 17:19:32.15",-215.188,162.026,-254.679,19.075,-184.338,103.904,-173.51,-71.8034 
"2004-08-13 17:19:32.2",-193.29,243.438,-266.727,101.646,-158.064,1.41147,-185.346,-73.2754 
"2004-08-13 17:19:32.25",-181.485,303.657,-281.225,174.387,-145.674,-99.3673,-179.448,-107.07 
"2004-08-13 17:19:32.3",-216.902,286.73,-291.408,170.767,-164.819,-187.705,-169.981,-105.376 
"2004-08-13 17:19:32.35",-200.933,127.284,-281.759,118.856,-174.155,-245.555,-148.728,-0.47385 
"2004-08-13 17:19:32.4",-200.086,55.0069,-266.011,81.9962,-171.14,-169.275,-139.755,114.722 
"2004-08-13 17:19:32.45",-184.307,119.007,-249.961,19.1859,-187.685,-84.0731,-161.371,91.4934 
"2004-08-13 17:19:32.5",-210.117,182.2,-233.084,-28.9048,-209.139,-42.5054,-234.253,32.1714 
"2004-08-13 17:19:32.55",-243.367,187.312,-255.708,-22.8759,-239.577,3.70006,-283.826,58.3037 
"2004-08-13 17:19:32.6",-273.976,123.443,-259.156,84.7284,-228.033,2.61122,-291.367,115.892 
"2004-08-13 17:19:32.65",-213.666,-29.167,-276.456,244.799,-227.962,-25.4871,-305.865,173.137 
"2004-08-13 17:19:32.7",-140.996,-140.008,-312.872,277.192,-238.79,-121.447,-308.426,213.101 
"2004-08-13 17:19:32.75",-102.1,-205.611,-319.153,135.219,-175.022,-191.123,-269.822,228.9 
"2004-08-13 17:19:32.8",-126.921,-183.874,-286.357,40.8418,-116.013,-165.444,-244.668,216.489 
"2004-08-13 17:19:32.85",-147.267,-150.432,-230.311,50.9137,-72.2168,-85.7265,-230.473,129.603 
"2004-08-13 17:19:32.9",-178.762,-129.754,-195.075,59.695,-81.109,-15.9395,-230.009,104.207 
"2004-08-13 17:19:32.95",-183.158,-125.167,-180.023,77.0964,-122.334,48.8771,-216.62,54.402 
"2004-08-13 17:19:33",-151.783,-174.599,-173.217,97.724,-156.875,16.6856,-199.209,61.6812 
"2004-08-13 17:19:33.05",-136.469,-213.091,-180.88,6.14997,-189.953,-5.30309,-201.285,90.6767 
"2004-08-13 17:19:33.1",-153.88,-205.318,-177.926,-62.8103,-195.095,3.97227,-189.984,35.1456 
"2004-08-13 17:19:33.15",-169.981,-162.712,-203.413,-55.9042,-198.16,44.9754,-173.984,31.5564 
"2004-08-13 17:19:33.2",-210.843,-142.78,-225.502,-26.1525,-183.43,77.8929,-162.51,-1.49212 
"2004-08-13 17:19:33.25",-241.563,-59.7052,-225.583,-51.1255,-188.431,-8.89226,-160.101,42.6062 
"2004-08-13 17:19:33.3",-238.801,0.131065,-205.55,-72.3883,-183.915,-148.356,-163.368,82.1879 
"2004-08-13 17:19:33.35",-213.777,-42.4449,-200.247,-23.6724,-195.539,-270.347,-177.341,109.742 
"2004-08-13 17:19:33.4",-166.221,-90.7878,-215.602,-0.695653,-195.398,-284.089,-193.926,101.555 
"2004-08-13 17:19:33.45",-124.29,-47.0221,-224.595,-25.5073,-188.814,-190.266,-190.014,-5.87776 
"2004-08-13 17:19:33.5",-42.3743,71.7833,-220.704,-92.2496,-165.576,-72.852,-215.31,-136.519 
"2004-08-13 17:19:33.55",-5.49465,171.201,-251.595,-121.8,-150.301,-5.94834,-220.593,-114.259 
"2004-08-13 17:19:33.6",-48.1412,148.003,-281.891,-95.2339,-151.491,52.7587,-232.257,-77.4595 
"2004-08-13 17:19:33.65",-145.281,42.4348,-282.022,-70.3013,-148.971,133.384,-249.245,-42.6667 
"2004-08-13 17:19:33.7",-195.821,33.966,-252.331,-36.4966,-156.532,132.406,-243.539,-19.1557 
"2004-08-13 17:19:33.75",-137.981,25.3056,-209.886,6.0794,-141.429,52.0832,-227.106,-62.7398 
"2004-08-13 17:19:33.8",-36.6478,-18.9742,-163.841,34.3794,-89.3461,-43.5539,-203.947,-75.1003 
