%x,y,z,,wsurf
0.818,0.044,99.971,100.548,100.089
0.818,0.298,99.97,100.548,100.089
0.818,0.565,99.967,100.548,100.089
2.342,0.044,99.971,100.547,100.089
2.342,0.302,99.969,100.547,100.089
2.342,0.565,99.967,100.547,100.089
3.866,0.044,99.966,100.543,100.086
3.866,0.302,99.965,100.543,100.086
3.866,0.565,99.965,100.543,100.086
5.39,0.044,99.968,100.547,100.087
5.39,0.302,99.966,100.547,100.087
5.39,0.565,99.965,100.547,100.087
6.304,0.044,99.965,100.545,100.086
6.304,0.302,99.965,100.545,100.086
6.304,0.565,99.966,100.545,100.086
6.548,0.044,99.969,100.547,100.086
6.548,0.302,99.968,100.547,100.086
6.548,0.565,99.968,100.547,100.086
6.609,0.044,99.968,100.547,100.086
6.609,0.302,99.967,100.547,100.086
6.609,0.565,99.966,100.547,100.086
6.69,0.044,99.975,100.548,100.087
6.69,0.302,99.973,100.548,100.087
6.69,0.565,99.971,100.548,100.087
6.822,0.044,99.992,100.549,100.084
6.822,0.302,99.991,100.549,100.084
6.822,0.565,99.99,100.549,100.084
7.005,0.044,100.015,100.55,100.083
7.005,0.302,100.015,100.55,100.083
7.005,0.565,100.012,100.55,100.083
7.075,0.044,100.018,100.55,100.081
7.075,0.302,100.019,100.55,100.081
7.075,0.565,100.018,100.55,100.081
7.121,0.044,100.02,100.55,100.081
7.121,0.302,100.018,100.55,100.081
7.121,0.565,100.017,100.55,100.081
7.371,0.044,100.018,100.55,100.081
7.371,0.302,100.018,100.55,100.081
7.371,0.565,100.017,100.55,100.081
7.676,0.044,100.017,100.551,100.081
7.676,0.302,100.018,100.551,100.081
7.676,0.565,100.017,100.551,100.081
7.98,0.044,100.017,100.551,100.081
7.98,0.302,100.018,100.551,100.081
7.98,0.565,100.018,100.551,100.081
8.285,0.044,100.018,100.55,100.082
8.285,0.302,100.019,100.55,100.082
8.285,0.565,100.019,100.55,100.082
8.59,0.044,100.018,100.545,100.08
8.59,0.302,100.015,100.545,100.08
8.59,0.565,100.016,100.545,100.08
9.2,0.044,100.015,100.541,100.077
9.2,0.302,100.014,100.541,100.077
9.2,0.565,100.013,100.541,100.077
9.474,0.044,100.017,100.541,100.079
9.474,0.302,100.017,100.541,100.079
9.474,0.565,100.016,100.541,100.079
9.52,0.044,100.017,100.541,100.079
9.52,0.302,100.017,100.541,100.079
9.52,0.565,100.016,100.541,100.079
9.565,0.044,100.016,100.541,100.079
9.565,0.302,100.016,100.541,100.079
9.565,0.565,100.013,100.541,100.079
9.611,0.044,100.01,100.541,100.079
9.611,0.302,100.01,100.541,100.079
9.611,0.565,100.007,100.541,100.079
9.657,0.044,100.004,100.542,100.082
9.657,0.302,100.004,100.542,100.082
9.657,0.565,100.002,100.542,100.082
9.84,0.044,99.982,100.542,100.084
9.84,0.302,99.98,100.542,100.084
9.84,0.565,99.978,100.542,100.084
9.931,0.044,99.97,100.542,100.084
9.931,0.302,99.969,100.542,100.084
9.931,0.565,99.967,100.542,100.084
9.977,0.044,99.964,100.543,100.086
9.977,0.302,99.966,100.543,100.086
9.977,0.565,99.964,100.543,100.086
10.022,0.044,99.967,100.542,100.086
10.022,0.302,99.965,100.542,100.086
10.022,0.565,99.963,100.542,100.086
10.419,0.044,99.966,100.542,100.086
10.419,0.302,99.964,100.542,100.086
10.419,0.565,99.962,100.542,100.086
10.876,0.044,99.967,100.541,100.086
10.876,0.302,99.966,100.541,100.086
10.876,0.565,99.965,100.541,100.086
11.333,0.044,99.968,100.541,100.088
11.333,0.302,99.966,100.541,100.088
11.333,0.565,99.965,100.541,100.088
11.79,0.044,99.968,100.541,100.088
11.79,0.302,99.965,100.541,100.088
11.79,0.565,99.963,100.541,100.088
12.248,0.044,99.965,100.54,100.087
12.248,0.302,99.963,100.54,100.087
12.248,0.565,99.961,100.54,100.087
12.705,0.044,99.964,100.54,100.089
12.705,0.302,99.961,100.54,100.089
12.705,0.565,99.962,100.54,100.089
12.781,0.044,99.963,100.54,100.089
12.781,0.302,99.962,100.54,100.089
12.781,0.565,99.961,100.54,100.089
12.827,0.044,99.963,100.541,100.089
12.827,0.302,99.964,100.541,100.089
12.827,0.565,99.962,100.541,100.089
12.872,0.044,99.966,100.541,100.09
12.872,0.302,99.967,100.541,100.09
12.872,0.565,99.965,100.541,100.09
12.918,0.044,99.971,100.541,100.09
12.918,0.302,99.972,100.541,100.09
12.918,0.565,99.971,100.541,100.09
13.07,0.044,99.99,100.54,100.088
13.07,0.302,99.991,100.54,100.088
13.07,0.565,99.992,100.54,100.088
13.223,0.044,100.01,100.54,100.086
13.223,0.302,100.011,100.54,100.086
13.223,0.565,100.012,100.54,100.086
13.269,0.044,100.017,100.541,100.086
13.269,0.302,100.017,100.541,100.086
13.269,0.565,100.018,100.541,100.086
13.314,0.044,100.017,100.541,100.086
13.314,0.302,100.017,100.541,100.086
13.314,0.565,100.017,100.541,100.086
13.36,0.044,100.016,100.54,100.085
13.36,0.302,100.017,100.54,100.085
13.36,0.565,100.017,100.54,100.085
13.512,0.044,100.015,100.54,100.086
13.512,0.302,100.016,100.54,100.086
13.512,0.565,100.016,100.54,100.086
13.665,0.044,100.016,100.54,100.086
13.665,0.302,100.015,100.54,100.086
13.665,0.565,100.017,100.54,100.086
13.711,0.044,100.016,100.54,100.086
13.711,0.302,100.015,100.54,100.086
13.711,0.565,100.017,100.54,100.086
13.756,0.044,100.016,100.54,100.086
13.756,0.302,100.017,100.54,100.086
13.756,0.565,100.017,100.54,100.086
13.802,0.044,100.012,100.54,100.087
13.802,0.302,100.012,100.54,100.087
13.802,0.565,100.012,100.54,100.087
13.848,0.044,100.006,100.54,100.088
13.848,0.302,100.007,100.54,100.088
13.848,0.565,100.006,100.54,100.088
14,0.044,99.987,100.54,100.09
14,0.302,99.988,100.54,100.09
14,0.565,99.987,100.54,100.09
14.153,0.044,99.969,100.54,100.091
14.153,0.302,99.97,100.54,100.091
14.153,0.565,99.968,100.54,100.091
14.198,0.044,99.966,100.54,100.091
14.198,0.302,99.967,100.54,100.091
14.198,0.565,99.966,100.54,100.091
14.244,0.044,99.967,100.54,100.091
14.244,0.302,99.966,100.54,100.091
14.244,0.565,99.966,100.54,100.091
14.686,0.044,99.96,100.54,100.092
14.686,0.302,99.959,100.54,100.092
14.686,0.565,99.96,100.54,100.092
15.143,0.044,99.956,100.539,100.092
15.143,0.302,99.955,100.539,100.092
15.143,0.565,99.956,100.539,100.092
